Sample,X,Y,Z
314,-1.0012,0.0029,-0.0142
315,-1.0020,-0.0220,-0.0176
316,-0.9878,-0.0098,-0.0405
317,-0.9873,0.0205,-0.0303
318,-0.9963,0.0339,-0.0110
319,-1.0122,0.0295,-0.0051
320,-1.0090,0.0339,0.0054
321,-1.0168,0.0308,0.0229
322,-1.0005,-0.0054,-0.0042
323,-0.9817,0.0132,-0.0330
324,-0.9702,0.0310,-0.0505
325,-0.9885,0.0410,-0.0054
326,-0.9924,0.0205,0.0024
327,-0.9934,-0.0139,-0.0325
328,-0.9927,-0.0100,-0.0139
329,-0.9924,0.0344,0.0154
330,-1.0032,0.0437,0.0027
331,-1.0005,0.0210,0.0144
332,-1.0073,0.0007,0.0303
333,-1.0081,-0.0078,-0.0142
334,-1.0110,0.0032,-0.0105
335,-1.0093,0.0225,0.0103
336,-0.9800,0.0249,-0.0298
337,-0.9692,0.0298,-0.0393
338,-0.9956,0.0317,-0.0049
339,-0.9968,0.0100,-0.0286
340,-0.9973,-0.0146,-0.0474
341,-1.0054,0.0000,-0.0217
342,-1.0022,0.0334,-0.0266
343,-1.0044,0.0410,-0.0295
344,-1.0229,0.0237,0.0203
345,-1.0200,-0.0049,-0.0061
346,-1.0093,-0.0227,-0.0378
347,-1.0149,-0.0066,-0.0056
348,-1.0044,0.0308,-0.0015
349,-0.9731,0.0596,-0.0237
350,-0.9731,0.0266,-0.0205
351,-0.9897,-0.0305,-0.0005
352,-0.9895,-0.0371,-0.0173
353,-0.9915,0.0032,-0.0195
354,-0.9885,0.0330,0.0037
355,-0.9849,0.0342,0.0039
356,-0.9888,0.0208,-0.0078
357,-1.0015,0.0271,0.0164
358,-1.0071,0.0386,0.0330
359,-1.0210,0.0125,-0.0007
360,-1.0220,-0.0212,-0.0137
361,-0.9954,-0.0020,-0.0134
362,-0.9866,0.0537,-0.0359
363,-0.9751,0.0710,-0.0278
364,-0.9927,0.0295,-0.0132
365,-0.9954,-0.0254,-0.0337
366,-0.9905,-0.0095,-0.0527
367,-0.9956,0.0581,-0.0239
368,-1.0034,0.0713,-0.0076
369,-0.9993,0.0117,-0.0190
370,-0.9963,-0.0171,0.0044
371,-1.0012,0.0032,0.0190
372,-1.0042,0.0171,-0.0168
373,-1.0042,-0.0032,-0.0090
374,-0.9915,-0.0073,-0.0071
375,-0.9819,-0.0022,-0.0439
376,-0.9731,0.0203,-0.0205
377,-0.9934,0.0481,0.0149
378,-1.0022,0.0330,-0.0156
379,-0.9934,-0.0090,-0.0288
380,-0.9973,-0.0127,-0.0022
381,-0.9954,0.0227,-0.0132
382,-1.0171,0.0288,0.0085
383,-1.0344,-0.0024,0.0452
384,-1.0181,-0.0222,-0.0068
385,-0.9995,-0.0120,-0.0474
386,-1.0210,0.0308,0.0066
387,-1.0022,0.0439,0.0012
388,-0.9631,0.0322,-0.0576
389,-0.9624,0.0259,-0.0356
390,-1.0012,0.0205,0.0007
391,-1.0073,-0.0017,-0.0356
392,-0.9888,-0.0198,-0.0442
393,-0.9885,0.0063,-0.0110
394,-1.0103,0.0378,-0.0166
395,-0.9993,0.0359,-0.0032
396,-1.0012,0.0129,0.0237
397,-1.0024,-0.0032,-0.0044
398,-1.0015,0.0100,-0.0334
399,-1.0051,0.0354,0.0107
400,-0.9866,0.0425,0.0071
401,-0.9553,0.0239,-0.0500
402,-0.9661,0.0039,-0.0146
403,-0.9934,-0.0012,0.0100
404,-0.9827,0.0042,-0.0325
405,-0.9771,0.0205,-0.0122
406,-1.0002,0.0232,0.0166
407,-1.0059,0.0068,-0.0293
408,-1.0054,0.0122,-0.0039
409,-1.0127,0.0393,0.0469
410,-1.0054,0.0242,-0.0168
411,-1.0024,-0.0178,-0.0247
412,-1.0208,-0.0083,0.0210
413,-0.9897,0.0232,-0.0393
414,-0.9739,0.0220,-0.0571
415,-0.9963,0.0056,0.0056
416,-0.9927,0.0049,-0.0254
417,-0.9836,0.0178,-0.0562
418,-1.0107,0.0251,-0.0007
419,-1.0090,0.0247,-0.0027
420,-0.9966,0.0173,-0.0413
421,-1.0115,0.0171,0.0122
422,-1.0200,0.0103,0.0322
423,-1.0042,-0.0078,-0.0237
424,-1.0071,-0.0071,-0.0220
425,-0.9983,0.0229,-0.0090
426,-0.9692,0.0405,-0.0378
427,-0.9741,0.0154,-0.0315
428,-0.9976,0.0012,-0.0056
429,-0.9995,0.0083,-0.0312
430,-0.9966,0.0125,-0.0361
431,-1.0054,0.0100,-0.0085
432,-1.0024,0.0239,-0.0210
433,-1.0042,0.0381,-0.0078
434,-1.0168,0.0410,0.0288
435,-1.0100,0.0156,0.0144
436,-1.0066,-0.0193,-0.0186
437,-1.0103,-0.0132,-0.0112
438,-0.9897,0.0356,-0.0186
439,-0.9666,0.0425,-0.0342
440,-0.9683,0.0081,-0.0293
441,-0.9761,-0.0044,-0.0125
442,-0.9915,0.0068,-0.0181
443,-0.9927,0.0034,-0.0276
444,-0.9834,-0.0015,-0.0195
445,-1.0015,0.0120,-0.0100
446,-1.0022,0.0386,-0.0095
447,-0.9956,0.0500,0.0076
448,-1.0112,0.0217,0.0229
449,-1.0129,-0.0159,-0.0007
450,-1.0024,-0.0125,-0.0247
451,-0.9934,0.0398,-0.0073
452,-0.9897,0.0518,-0.0256
453,-0.9761,0.0159,-0.0378
454,-0.9924,-0.0056,-0.0073
455,-1.0022,-0.0007,-0.0181
456,-0.9946,0.0083,-0.0369
457,-1.0034,0.0149,-0.0005
458,-1.0066,0.0107,-0.0051
459,-0.9905,0.0144,-0.0239
460,-1.0022,0.0239,0.0144
461,-1.0227,0.0234,0.0217
462,-1.0159,-0.0002,-0.0276
463,-1.0005,-0.0088,-0.0159
464,-0.9849,0.0276,-0.0107
465,-0.9778,0.0295,-0.0530
466,-0.9924,0.0063,-0.0308
467,-1.0132,0.0066,0.0022
468,-0.9905,0.0132,-0.0481
469,-0.9856,0.0139,-0.0466
470,-1.0129,0.0059,0.0063
471,-1.0066,0.0100,-0.0159
472,-0.9985,0.0229,-0.0349
473,-1.0093,0.0269,0.0242
474,-1.0142,0.0083,0.0100
475,-1.0044,-0.0176,-0.0325
476,-1.0103,0.0139,-0.0103
477,-0.9993,0.0493,0.0046
478,-0.9807,0.0371,-0.0435
479,-0.9758,0.0054,-0.0193
480,-0.9819,-0.0032,0.0181
481,-0.9856,-0.0015,-0.0220
482,-0.9836,0.0156,-0.0156
483,-0.9917,0.0352,0.0044
484,-0.9954,0.0315,-0.0073
485,-0.9905,0.0293,0.0098
486,-0.9976,0.0220,0.0259
487,-0.9983,0.0005,0.0093
488,-1.0090,-0.0220,-0.0134
489,-0.9956,0.0017,-0.0203
490,-0.9788,0.0439,-0.0322
491,-0.9817,0.0513,-0.0371
492,-0.9917,0.0217,-0.0183
493,-0.9966,-0.0151,-0.0281
494,-0.9934,-0.0200,-0.0457
495,-0.9885,0.0254,-0.0376
496,-1.0066,0.0569,-0.0146
497,-1.0171,0.0410,-0.0164
498,-1.0093,-0.0029,-0.0164
499,-1.0159,-0.0190,0.0139
500,-1.0256,-0.0076,0.0010
501,-1.0198,-0.0120,-0.0215
502,-1.0137,0.0151,0.0078
503,-0.9998,0.0422,-0.0078
504,-0.9758,0.0359,-0.0359
505,-0.9849,0.0051,0.0078
506,-1.0020,-0.0205,0.0205
507,-0.9761,-0.0139,-0.0251
508,-0.9790,0.0181,-0.0159
509,-0.9961,0.0386,0.0176
510,-0.9963,0.0200,-0.0144
511,-0.9885,0.0085,0.0012
512,-1.0002,0.0093,0.0193
513,-1.0012,0.0098,-0.0085
514,-1.0042,0.0322,-0.0171
515,-0.9927,0.0562,-0.0027
516,-0.9819,0.0266,-0.0471
517,-0.9797,-0.0120,-0.0510
518,-1.0015,-0.0042,-0.0061
519,-1.0042,0.0283,-0.0137
520,-0.9878,0.0315,-0.0554
521,-0.9915,0.0078,-0.0344
522,-1.0063,0.0066,-0.0173
523,-1.0063,0.0208,-0.0259
524,-0.9966,0.0425,0.0095
525,-1.0103,0.0330,0.0273
526,-1.0171,-0.0044,-0.0063
527,-1.0149,0.0029,-0.0044
528,-1.0027,0.0349,0.0137
529,-0.9829,0.0254,-0.0083
530,-0.9751,-0.0125,-0.0215
531,-0.9868,-0.0183,0.0129
532,-0.9963,0.0159,-0.0054
533,-0.9905,0.0339,-0.0339
534,-1.0012,0.0371,-0.0063
535,-0.9983,0.0181,-0.0083
536,-0.9807,0.0005,-0.0344
537,-0.9963,0.0203,0.0059
538,-1.0190,0.0295,0.0205
539,-1.0107,0.0159,-0.0303
540,-1.0100,-0.0049,-0.0249
541,-1.0002,-0.0002,0.0015
542,-0.9888,0.0205,-0.0425
543,-0.9915,0.0251,-0.0261
544,-0.9966,0.0176,0.0010
545,-1.0022,0.0010,-0.0359
546,-0.9897,0.0063,-0.0442
547,-0.9976,0.0347,0.0002
548,-0.9956,0.0381,-0.0010
549,-0.9905,-0.0007,-0.0154
550,-0.9927,-0.0286,0.0129
551,-0.9990,-0.0071,0.0190
552,-1.0024,0.0198,-0.0073
553,-1.0042,0.0188,-0.0007
554,-0.9973,0.0190,0.0083
555,-0.9768,0.0403,-0.0352
556,-0.9829,0.0518,-0.0273
557,-1.0083,0.0354,0.0225
558,-1.0032,0.0046,-0.0122
559,-0.9827,-0.0002,-0.0505
560,-0.9954,0.0276,-0.0083
561,-1.0022,0.0403,-0.0125
562,-0.9897,0.0186,-0.0410
563,-0.9985,0.0129,0.0095
564,-1.0227,0.0190,0.0068
565,-1.0112,0.0125,-0.0300
566,-1.0022,0.0073,-0.0164
567,-0.9946,0.0164,-0.0117
568,-0.9709,0.0354,-0.0525
569,-0.9749,0.0308,-0.0205
570,-0.9963,-0.0010,0.0249
571,-0.9885,-0.0332,-0.0303
572,-0.9827,-0.0115,-0.0305
573,-0.9983,0.0427,0.0154
574,-0.9885,0.0474,-0.0137
575,-0.9885,0.0012,-0.0181
576,-1.0100,-0.0210,0.0378
577,-1.0168,0.0129,0.0083
578,-1.0063,0.0330,-0.0308
579,-1.0098,0.0161,0.0144
580,-0.9927,0.0068,0.0007
581,-0.9768,0.0093,-0.0503
582,-0.9927,0.0183,0.0032
583,-1.0090,0.0237,0.0168
584,-1.0022,0.0063,-0.0530
585,-0.9927,0.0005,-0.0317
586,-0.9922,0.0190,-0.0139
587,-0.9810,0.0234,-0.0417
588,-1.0012,0.0283,0.0007
589,-1.0110,0.0205,0.0171
590,-1.0034,0.0071,-0.0493
591,-1.0073,0.0144,-0.0354
592,-1.0161,0.0298,0.0112
593,-0.9946,0.0410,-0.0168
594,-0.9800,0.0229,-0.0371
