Sample,X,Y,Z
366,-0.9641,-0.0195,-0.0432
367,-0.9839,-0.0110,-0.0168
368,-1.0110,0.0239,-0.0046
369,-1.0171,0.0400,-0.0364
370,-1.0005,0.0369,-0.0164
371,-0.9897,0.0227,-0.0032
372,-0.9827,-0.0093,-0.0398
373,-0.9963,-0.0032,-0.0020
374,-1.0288,0.0337,0.0369
375,-1.0181,0.0232,-0.0117
376,-0.9993,-0.0061,-0.0244
377,-0.9976,-0.0007,0.0012
378,-0.9702,0.0278,-0.0376
379,-0.9604,0.0430,-0.0435
380,-0.9973,0.0232,0.0034
381,-1.0190,-0.0173,-0.0066
382,-1.0054,-0.0334,-0.0347
383,-1.0005,0.0151,-0.0144
384,-0.9895,0.0706,-0.0112
385,-0.9854,0.0417,-0.0244
386,-1.0032,-0.0198,0.0022
387,-1.0171,-0.0339,0.0076
388,-1.0208,-0.0166,-0.0122
389,-1.0129,0.0247,-0.0071
390,-0.9797,0.0605,-0.0073
391,-0.9624,0.0520,-0.0452
392,-0.9739,0.0083,-0.0403
393,-1.0063,-0.0132,0.0029
394,-1.0190,-0.0098,0.0037
395,-1.0142,0.0037,-0.0212
396,-0.9924,0.0369,-0.0183
397,-0.9858,0.0405,-0.0195
398,-0.9846,0.0083,-0.0225
399,-1.0015,-0.0063,0.0093
400,-1.0334,0.0085,0.0256
401,-1.0220,0.0178,-0.0078
402,-1.0002,0.0190,-0.0139
403,-0.9807,0.0271,-0.0034
404,-0.9624,0.0215,-0.0334
405,-0.9653,0.0164,-0.0361
406,-1.0015,0.0164,0.0117
407,-1.0229,0.0017,0.0042
408,-0.9995,-0.0132,-0.0352
409,-0.9849,-0.0015,-0.0271
410,-0.9849,0.0190,-0.0200
411,-0.9827,0.0305,-0.0142
412,-0.9895,0.0427,0.0007
413,-1.0278,0.0349,0.0125
414,-1.0374,0.0044,-0.0063
415,-1.0110,-0.0037,-0.0237
416,-0.9895,0.0188,-0.0161
417,-0.9661,0.0266,-0.0403
418,-0.9697,0.0066,-0.0396
419,-0.9976,0.0046,0.0044
420,-1.0100,0.0164,-0.0081
421,-1.0054,0.0237,-0.0361
422,-1.0007,0.0193,-0.0105
423,-0.9817,0.0151,-0.0073
424,-0.9807,0.0205,-0.0200
425,-1.0044,0.0310,0.0203
426,-1.0364,0.0212,0.0327
427,-1.0305,-0.0115,-0.0103
428,-0.9998,-0.0305,-0.0171
429,-0.9622,0.0159,-0.0125
430,-0.9419,0.0603,-0.0381
431,-0.9758,0.0574,-0.0146
432,-1.0081,0.0071,0.0105
433,-1.0061,-0.0205,-0.0486
434,-1.0085,0.0103,-0.0447
435,-1.0142,0.0415,0.0159
436,-0.9846,0.0334,-0.0217
437,-0.9712,0.0129,-0.0457
438,-1.0266,0.0166,0.0276
439,-1.0471,0.0327,0.0142
440,-1.0151,0.0142,-0.0474
441,-0.9973,-0.0015,-0.0129
442,-0.9937,0.0132,-0.0046
443,-0.9644,0.0312,-0.0527
444,-0.9741,0.0308,-0.0188
445,-1.0129,0.0037,0.0103
446,-1.0110,-0.0212,-0.0227
447,-0.9990,-0.0107,-0.0144
448,-0.9983,0.0310,0.0085
449,-0.9758,0.0488,-0.0115
450,-1.0051,0.0371,0.0085
451,-1.0181,0.0217,0.0391
452,-1.0034,-0.0049,-0.0049
453,-1.0032,-0.0259,-0.0122
454,-0.9993,0.0110,0.0168
455,-0.9507,0.0527,-0.0352
456,-0.9417,0.0342,-0.0696
457,-0.9878,0.0051,-0.0051
458,-1.0129,0.0015,0.0015
459,-1.0081,0.0154,-0.0376
460,-0.9927,0.0322,-0.0200
461,-0.9907,0.0300,-0.0249
462,-0.9797,0.0200,-0.0417
463,-0.9976,0.0266,-0.0085
464,-1.0229,0.0286,0.0203
465,-1.0325,0.0083,0.0029
466,-1.0393,-0.0190,-0.0015
467,-0.9905,0.0103,-0.0193
468,-0.9573,0.0432,-0.0374
469,-0.9585,0.0364,-0.0220
470,-0.9875,0.0093,-0.0044
471,-1.0139,0.0000,-0.0027
472,-1.0171,0.0090,-0.0107
473,-0.9897,0.0103,-0.0288
474,-0.9829,0.0034,-0.0044
475,-0.9739,0.0186,0.0066
476,-0.9690,0.0342,-0.0090
477,-1.0071,0.0396,0.0237
478,-1.0444,0.0154,0.0249
479,-1.0286,-0.0181,-0.0237
480,-0.9951,-0.0134,-0.0247
481,-0.9739,0.0229,-0.0247
482,-0.9585,0.0454,-0.0571
